date,symbol,session,pattern,outcome,pnl,r_mult,gap_pct,rvol,pm_bar_rvol_equiv,spike_time,float_shares,float_verified,resistance,entry_offset_mins,stop_distance_pct,entry,stop,target,exit,shares,is_runner,run_days,entry_time,conviction_tier,conviction_mult,conviction_pts,has_catalyst,news_quality,news_negative,scaleins,scaleouts,t1_outcome_raw,t1_pnl,t1_candle_signal,gates_mode,gates_reason,gates_passed,gate_macd_ok,gate_ema_ok,gate_vwap_ok,t2_filled,t2_entry,t2_shares,t2_outcome,t2_exit,t2_pnl,t2_candle_signal,t3_filled,t3_entry,t3_shares,t3_outcome,t3_exit,t3_pnl,tiers_fired,tier_pnl_sum,runner_outcome,runner_exit,runner_shares,runner_pnl
2025-09-11,GRI,,breakout,LOSS,-575.66,-1.04,83.97,538.61,,,1770838,True,False,4,2.82,2.68,2.6,2.92,2.59,6924,False,0,09:34 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-575.66,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-11,WLDS,,bull_flag,LOSS,-405.63,-1.1,93.05,7.23,,,2727563,True,False,4,3.0,7.42,7.2,8.09,7.18,1663,False,0,09:34 ET,STANDARD,2.0,0,False,0,False,True,False,STOP,-405.63,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-11,OCC,,breakout,WIN,7.12,0.04,41.56,8.49,,,5819317,True,False,6,2.95,6.91,6.71,7.54,6.92,893,False,0,09:36 ET,STANDARD → ROSS-HALF (0/3 gates),1.0,0,False,0,False,True,False,TRAIL,7.12,,conviction,score_0,0,0,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-11,PACS,,breakout,WIN,9.27,0.05,31.86,8.72,,,47310779,True,False,1,3.0,8.22,7.97,8.96,8.23,751,False,0,09:31 ET,STANDARD → ROSS-HALF (0/3 gates),1.0,0,False,0,False,True,False,TRAIL,9.27,,conviction,score_0,0,0,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-12,BGLC,,bull_flag,WIN,21.34,0.06,31.38,45.45,,,1753471,True,False,354,2.97,5.43,5.27,5.92,5.44,2273,False,0,15:24 ET,STANDARD,2.0,0,True,3,False,True,False,TRAIL,21.34,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-12,FTFT,,bull_flag,LOSS,-391.51,-1.06,46.42,22.24,,,3009940,True,False,42,2.88,2.99,2.9,3.25,2.89,4136,False,0,10:12 ET,STANDARD,2.0,0,False,0,False,True,False,STOP,-391.51,,conviction,score_3,3,1,1,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-12,GCTK,,breakout,LOSS,-616.6,-1.11,190.35,195.96,,,6159318,True,False,1,3.04,11.27,10.93,12.29,10.9,1643,False,0,09:31 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-616.6,,conviction,score_1,1,1,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-15,FOXX,,breakout,LOSS,-408.24,-1.1,23.37,7.69,,,962093,True,False,78,3.02,5.68,5.51,6.19,5.49,2173,False,0,10:48 ET,STANDARD,2.0,0,False,0,False,True,False,STOP,-408.24,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-15,LVLU,,breakout,WIN,36.26,0.1,43.82,21.14,,,1257388,True,False,16,3.05,5.27,5.11,5.74,5.29,2343,False,0,09:46 ET,STANDARD,2.0,0,False,0,False,True,False,TRAIL,36.26,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-15,FEED,,breakout,LOSS,-601.92,-1.08,168.1,308.18,,,5851822,True,False,16,2.96,11.29,10.96,12.31,10.93,1640,False,0,09:46 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-601.92,,conviction,score_1,1,1,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-16,TURB,,bull_flag,LOSS,-601.43,-1.08,657.41,8333.61,,,16963641,True,False,1,2.96,6.89,6.69,7.51,6.67,2687,False,0,09:31 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-601.43,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-16,WBTN,,breakout,LOSS,-202.82,-1.1,42.51,7.27,,,22534163,True,False,1,3.0,19.95,19.35,21.74,19.29,309,False,0,09:31 ET,STANDARD → ROSS-HALF (0/3 gates),1.0,0,False,0,False,True,False,STOP,-202.82,,conviction,score_0,0,0,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-17,SPRC,,breakout,LOSS,-300.03,-1.08,245.65,110.22,,,532829,True,False,1,2.95,3.96,3.84,4.31,3.83,2340,False,0,09:31 ET,STRONG → ROSS-HALF (0/3 gates),1.5,2,True,3,False,True,False,STOP,-300.03,,conviction,score_0,0,0,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-17,SQFT,,breakout,WIN,124.58,0.22,72.49,914.86,,,991249,True,False,159,2.96,9.38,9.1,10.22,9.44,1975,False,0,12:09 ET,STRONG,3.0,2,False,0,False,True,False,TRAIL,124.58,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-17,TGE,,breakout,WIN,373.78,0.67,69.88,362.36,,,7450890,True,False,73,2.96,2.9,2.81,3.16,2.95,6397,False,0,10:43 ET,STRONG,3.0,2,False,0,False,True,False,TRAIL,373.78,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-17,BGL,,breakout,LOSS,-401.58,-1.08,42.14,9.59,,,15800255,True,False,24,2.96,11.22,10.89,12.23,10.86,1100,False,0,09:54 ET,STANDARD,2.0,0,False,0,False,True,False,STOP,-401.58,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-18,APVO,,breakout,LOSS,-429.52,-1.16,80.85,26.12,,,1245307,True,False,1,3.19,2.51,2.43,2.74,2.42,4920,False,0,09:31 ET,STANDARD,2.0,0,True,3,False,True,False,STOP,-429.52,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-18,EDRY,,breakout,LOSS,-1.39,-0.0,29.22,39.13,,,2245666,True,False,371,3.03,13.76,13.34,15.0,13.76,897,False,0,15:41 ET,STANDARD,2.0,0,False,0,False,True,False,TRAIL,-1.39,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-18,BRFH,,breakout,LOSS,-614.89,-1.11,40.21,546.34,,,7333506,True,False,61,3.03,3.89,3.77,4.24,3.76,4764,False,0,10:31 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-614.89,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-18,AIIO,,breakout,LOSS,-395.24,-1.07,40.41,6.59,,,10857992,True,False,1,2.91,2.21,2.15,2.41,2.14,5577,False,0,09:31 ET,STANDARD,2.0,0,False,0,False,True,False,STOP,-395.24,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-18,NBTX,,bull_flag,LOSS,-406.56,-1.1,29.38,12.39,,,31824271,True,False,1,3.0,12.73,12.35,13.88,12.31,969,False,0,09:31 ET,STANDARD,2.0,0,True,3,False,True,False,STOP,-406.56,,conviction,score_1,1,1,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-18,SLMT,,bull_flag,LOSS,-613.92,-1.11,592.16,103.82,,,43982812,True,False,87,3.03,16.63,16.13,18.13,16.08,1113,False,0,10:57 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-613.92,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-19,AGMH,,breakout,WIN,163.1,0.59,711.66,219.39,,,1852219,True,False,1,3.06,6.64,6.44,7.24,6.76,1394,False,0,09:31 ET,STRONG → ROSS-HALF (0/3 gates),1.5,2,True,3,False,True,False,TRAIL,163.1,,conviction,score_0,0,0,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-19,ABTS,,breakout,LOSS,-399.58,-1.08,45.19,10.05,,,2080861,True,False,102,2.94,6.19,6.01,6.75,5.99,1994,False,0,11:12 ET,STANDARD,2.0,0,False,0,False,True,False,STOP,-399.58,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-19,BRFH,,breakout,WIN,211.43,0.57,58.33,17.1,,,7333506,True,False,17,3.03,4.6,4.46,5.01,4.68,2685,False,0,09:47 ET,STANDARD,2.0,0,True,3,False,True,False,TRAIL,211.43,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-19,VRCA,,breakout,LOSS,-627.71,-1.13,21.29,161.49,,,7896744,True,False,14,3.1,4.83,4.68,5.26,4.67,3835,False,0,09:44 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-627.71,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-19,FATN,,breakout,LOSS,-614.25,-1.11,79.2,589.69,,,7896757,True,False,40,3.03,7.38,7.16,8.05,7.14,2508,False,0,10:10 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-614.25,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-22,USGO,,breakout,WIN,75.95,0.21,34.64,7.01,,,2416482,True,False,16,2.98,10.26,9.95,11.18,10.32,1204,False,0,09:46 ET,STANDARD,2.0,0,False,0,False,True,False,TRAIL,75.95,,conviction,score_1,1,0,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-22,BOXL,,breakout,LOSS,-610.91,-1.1,550.64,138.41,,,3707542,True,False,16,3.01,8.52,8.26,9.28,8.24,2175,False,0,09:46 ET,STRONG,3.0,2,True,3,False,True,False,STOP,-610.91,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-22,AIXC,,breakout,LOSS,-301.59,-1.09,210.21,150.79,,,18558726,True,False,16,2.97,7.35,7.13,8.01,7.11,1260,False,0,09:46 ET,STRONG → ROSS-HALF (0/3 gates),1.5,2,False,0,False,True,False,STOP,-301.59,,conviction,score_0,0,0,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-22,BKKT,,breakout,LOSS,-4.53,-0.01,52.11,14.78,,,31843388,True,False,59,3.03,14.15,13.72,15.42,14.14,872,False,0,10:29 ET,STANDARD,2.0,0,False,0,False,True,False,TRAIL,-4.53,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-22,TARA,,breakout,LOSS,-206.27,-1.11,31.03,19.01,,,49482210,True,False,16,3.05,3.86,3.74,4.2,3.73,1600,False,0,09:46 ET,STANDARD → ROSS-HALF (0/3 gates),1.0,0,False,0,False,True,False,STOP,-206.27,,conviction,score_0,0,0,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-23,SLE,,breakout,LOSS,-604.39,-1.09,248.48,151.86,,,1255561,True,False,6,2.97,9.02,8.75,9.83,8.72,2054,False,0,09:36 ET,STRONG,3.0,2,False,0,False,True,False,STOP,-604.39,,conviction,score_1,1,1,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-23,FLNA,,bull_flag,WIN,48.0,0.13,57.76,42.37,,,47317584,True,False,1,2.9,2.73,2.65,2.97,2.74,4525,False,0,09:31 ET,STANDARD,2.0,0,False,0,False,True,False,TRAIL,48.0,,conviction,score_1,1,1,0,0,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-24,DBGI,,breakout,LOSS,-28.95,-0.08,59.77,15.29,,,22985558,True,False,1,3.06,4.9,4.75,5.34,4.89,2520,False,0,09:31 ET,STANDARD,2.0,0,False,0,False,True,False,TRAIL,-28.95,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
2025-09-24,CLPT,,breakout,WIN,126.42,0.34,72.2,37.03,,,26268458,True,False,1,2.98,16.56,16.07,18.05,16.73,745,False,0,09:31 ET,STANDARD,2.0,0,False,0,False,True,False,TRAIL,126.42,,conviction,score_2,2,1,0,1,False,0.0,0,,0.0,0.0,,False,0.0,0,,0.0,0.0,0,0.0,,0.0,0,0.0
